idx,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,class,lat,lon,desc
193,0.2194,0.121,0.0936,0.0793,0.0632,0.0987,0.1888,0.2182,0.2134,0.2451,0,-27.45000253,28.57464985,
194,0.2699,0.1673,0.1103,0.1041,0.10715,0.13215,0.176,0.19825,0.19395,0.22295,0,-27.94434517,28.37631247,
195,0.2978,0.2002,0.10615,0.1021,0.10635,0.13575,0.1984,0.2268,0.22685,0.2542,0,-26.79542016,28.45940567,
196,0.2706,0.2139,0.1143,0.1147,0.1326,0.1492,0.1839,0.2061,0.2031,0.2282,2,-26.94758486,27.93933637,
197,0.22045,0.1338,0.0968,0.09075,0.10025,0.12425,0.2207,0.27295,0.2794,0.30605,0,-27.32843435,29.17118025,
198,0.2089,0.1432,0.09385,0.0848,0.0921,0.107,0.1475,0.1692,0.16755,0.19305,0,-26.71996412,29.10292229,
199,0.2934,0.2471,0.1297,0.1151,0.1314,0.1435,0.1552,0.1696,0.1684,0.1911,0,-27.06326587,27.7506846,
200,0.4152,0.3583,0.145,0.161,0.2104,0.2379,0.2733,0.3028,0.294,0.3312,2,-28.19790327,28.23546196,
201,0.2096,0.1226,0.0948,0.0912,0.087,0.1172,0.1891,0.2159,0.2114,0.2384,0,-27.56166906,28.83322696,
202,0.3582,0.2782,0.1149,0.1207,0.1555,0.1739,0.2081,0.2352,0.2377,0.2723,0,-27.50853363,29.38369726,
203,0.2509,0.16685,0.109,0.1099,0.1208,0.1479,0.22165,0.25105,0.2498,0.2824,0,-27.30602669,27.62998372,
204,0.2139,0.1262,0.0965,0.0929,0.0949,0.1246,0.1866,0.2096,0.2079,0.2344,0,-26.73182309,27.77603122,
