description,idx,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B09,B10,B11,B12,QA10,QA20,QA60,Cropland,Longitude,croptype,desc,invalid
,2233,1435,1346,1502,1884,2241,3093,3438,3469,3720,1673,21,3220,2428,0,0,512,20,8.840849929,Orchard,Irrigated-Orchards (olive)/Barren-SC-LS,0
,2234,1997,2019,2405,3362,3609.5,4095.5,4366,4229,4673,2075,30,5032,4151,0,0,512,21,9.018402418,Orchard,Irrigated-Orchards (olive/amendier)/Barren-DC-SS,0
,2230,1575,1339,1470,1805,2277,2747,3034,3004,3287,1634,24,3397,2605,0,0,512,,8.789707617,Orchard,Irrigated-Orchards (olive)/Barren-SC-LS,0
,2232,1762,1732,2009,2805,2988,3310,3569,3510,3732,1828,26,4450,3635,0,0,512,95,8.812376724,Orchard,Irrigated-Orchards (amendier)/Barren-SC-LS,0
,2231,1563,1490,1650,2098,2506,2936,3244,3031,3421,1702,27,3724,2924,0,0,512,,8.792968978,Orchard,Irrigated-Orchards (olive)/Fodder-DC-MS,0
,2229,1637,1630,1899,2651,2990,3341,3573,3460,3786,1857,31,4457,3806,0,0,512,10,8.573270342,Orchard,Irrigated-Orchards (olive)/Barren-SC-MS,0
,2163,1772,1808,2212,3125,3298,3532,3758,3701,3922,1993,32,4776,4031,0,0,512,20,8.516345108,Non-cropland,Grassland (Stipaa tenacissima)-LS,0
,2228,1449,1384,1533,1948,2197,2695,2982,3103,3225,1617,30,3397,2675,0,0,512,10,8.54705,Orchard,Irrigated-Orchards (Olive/other tree)/Barren-DC-LS,0
,2227,1947,2007,2480,3481,3828,4143,4373,4188,4552,2221,43,5294,4372,0,0,1024,65,8.629591057,Orchard,Irrigated-Orchards (Amendier)/Barren-SC-SS,0
,2226,1686,1700,1982,2772,2899,3313,3651,3565,3836,1885,30,4390,3541,0,0,1024,,8.765401812,Orchard,Irrigated-Orchards(Olive/Aple)/Barren-DC-SS,0
,2225,2420,2433,2611,3356,3604.5,3862,4089,3982,4298,2058.5,387,4778.5,4049,0,0,2048,,8.963189268,Orchard,Rainfed-Orchards (Amendier)/Barren-SC-LS,0
,2162,2379,1948,2028,2301,2458.5,2777,2927.5,2743,3063,1717.5,466,3207,2620,0,0,2048,0,8.979535783,Non-cropland,Shrubland/Grassland-LS,0
,2136,1913,1773,1858,2596,2920,3193,3456,3339,3651,1838,389,3741.5,3137,0,0,2048,20,9.006132437,Fodder,Irrigared-Fodder (Oat)-SC-SS,0
,2161,2409,2169,2108,2457,2593,2847,2993,2949,3152,1741,499,3313,2747,0,0,2048,99,8.992458058,Non-cropland,Grassland (Stipaa tenacissima)-LS,0
,2223,1632.5,1535,1664,2161,2412,2788.5,3041.5,3035,3321.5,1653,53,3958,3172.5,0,0,1024,40,9.084410981,Orchard,Irrigated orchards (olive-aple)/Barren- DC-MS,0
,2224,1596.5,1419.5,1610,2242,2518,2680,2914,2887.5,3202,1673.5,27,3743.5,3217,0,0,1024,10,9.098194444,Orchard,Rainfed-Orchards (olive)/Barren-SC-LS,0
,2160,1609,1353,1505,1950,2095,2354,2531.5,2435,2673.5,1244,133,2986,2574,0,0,2048,,9.097265737,Non-cropland,Shrubland (Cactus)-SC-LS,0
,2222,1433.5,1239,1302,1674,1788,1975,2140,2145,2317,1227,27,3322,2710,0,0,512,45,9.105735465,Orchard,Irrgated-orchards (peach)/Barren-SC-LS,0
,2220,1501.5,1422,1486,1799.5,1948,2346,2614,2706,2808.5,1394.5,82,3089.5,2206,0,0,512,23,9.069394315,Orchard,Irrigated- orchards (olive peach) /Barren-DC-MS,0
,2221,1549,1365,1402,1716,1900,2397.5,2695.5,2792,2956,1550.5,29,3360,2491,0,0,512,,9.07479168,Orchard,Irrigated-orchards (aple)/Barren-SC-MS,0
,2017,1819,1626,1484,1239,1628,2884,3511,3696,3902,1493,550,1682,1074,0,0,1024,99,8.621343514,Barley/Wheat,Rainfed-SC-wheat/fababean-LS,0
,2018,1608,1332,1241,949,1371,3237,3885,3687,4134,1487,241,1566,886,0,0,1024,95,8.680888797,Barley/Wheat,Rainfed-SC-wheat/fababean-LS,0
,2015,2509,2331,2185,1925,2310,3870,4596,4533,4801,2384,669,2093,1506,0,0,1024,99,8.661111111,Barley/Wheat,Rainfed-SC-wheat-VLS,0
,2019,2764,2424,2411,2263,2644,4117,4660,4529,4840,2546,318,2258,1746,0,0,1024,92,8.808078163,Barley/Wheat,Rainfed-SC-wheat-VLS,0
,2187,2590,2238,2147,2127,2419,3336,3728,3523,3845,2150,834,2745,2151,0,0,1024,20,8.705814774,Orchard,Rainfed-olive orachards/Barren-MS,0
,2014,1650,1599,1377,1092,1401,3264,4550,4575,4737,1637,461,1497,897,0,0,1024,99,8.6875,Barley/Wheat,Rainfed-SC-wheat/fababean-LS,0
,2188,1981,1707,1595,1472,1795,2879,3356,3195,3535,1544,448,2030,1358,0,0,1024,25,8.605638619,Orchard,Rainfed-olive orachards /Barren-MS,0
,2016,1840,1415,1352,1146,1528,3056,3799,3744,4029,1564,445,1625,1052,0,0,1024,90,8.580003084,Barley/Wheat,Rainfed-SC-wheat/oats-VLS,0
,2013,2186,2136,2014,1715,2078,3776,4524,4417,4758,2285,286,1963,1320,0,0,1024,91,8.706139491,Barley/Wheat,Rainfed-SC-wheat-LS,0
,2140,2344,1884,1795,1661,2103,3319,3714,3490,3912,2091,306,1896,1361,0,0,1024,0,8.751111111,Non-cropland,Shrublands/hills/forest,0
,2012,2650,2475,2311,2113,2487,3937,4650,4576,4810,2431,136,2201,1598,0,0,1024,83,8.916666667,Barley/Wheat,Rainfed-SC-wheat-VLS,0
,2302,2150,1905,1767,1542,1926,3285,3879,3805,4065,1853,335,2191,1524,0,0,1024,86,8.954336058,Vegetable,Irrigated-SC-potato/wheat-LS,0
,2186,1517.5,1228,1140,889,1199,2459.5,2848,3036,3136.5,1129.5,203,2039,1250,0,0,1024,85,9.001459919,Orchard,Irrigated-orchards-grapes /Barren,0
,2021,1592,1331,1235,952,1274,3051,4139,3752,4382,1552,288,1467,813,0,0,1024,99,8.998080945,Barley/Wheat,Irrigated-SC-wheat-VLS,0
,2301,2668,2446,2255,2133,2451,3317,3726,3727,3942,2258,749,2331,1655,0,0,1024,96,9.187194038,Vegetable,Rainfed-SC-sunflower-LS,0
,2010,2072,1792,1691,1457,1799,3425,4142,4012,4352,1976,726,1871,1262,0,0,1024,91,9.176459746,Barley/Wheat,Rainfed-SC-wheat-LS,0
,2011,1462,1207,1179,908,1400,3603,4586,4540,4961,1693,167,1847,987,0,0,1024,90,9.124694194,Barley/Wheat,Rainfed-SC-wheat/barley/fodder-LS,0
,2020,1420,946,911,604,1024,3200,4582,4577,4972,1658,99,1436,789,0,0,1024,99,8.929778577,Barley/Wheat,Irrigated-SC-wheat-VLS,0
,2032,1658,1495,1460,1225,1665,3447,4193,4107,4371,1842,179,1878,1112,0,0,1024,100,8.96119722,Barley/Wheat,Rainfed-SC-wheat/barley/fodder-LS,0
,2042,2584,2459,2408,2323,2618,3475,3813,3825,3960,2258,547,2529,1938,0,0,1024,98,9.16013665,Barley/Wheat,Rainfed-SC-barley-MS,0
,2041,2237.5,1982,1968,1844,2300,3800.5,4590.5,4392.5,4771.5,2024,339,2318,1649,0,0,1024,95,9.043092901,Barley/Wheat,Rainfed-SC-barley-LS,0
