idx,label,scale,Longitude,Latitude,idx2,date,cropland,trees,grasses,shrubs,water,other,desc
131,Shrubladns-VLS,,35.00843478330,-0.33653677637,151,10-Jun-14,0,0,0,100,,,
300,Rainfed-SC-sorghum/shrubladns surround,,35.00536258240,-0.35827415740,152,10-Jun-14,40,0,0,60,,,
132,Rainfed-SC-sorghum/maize-VLS,"Riparian and m-50,so-50",34.99398086820,-0.42731469435,153,10-Jun-14,98,0,0,0,,2,
134,Rainfed-SC-maize-LS,"m-70,sh-10,t-20",34.89818925040,-0.44697989838,154,10-Jun-14,70,20,0,10,,,
135,Rainfed-SC-maize-VLS,"m-80,T-10,sh-10",34.84159761880,-0.47387690263,155,10-Jun-14,80,10,0,10,,,
136,Rainfed-SC-maize-VLS,riparian,34.82054520440,-0.48298468475,156,10-Jun-14,90,2,0,0,8,,
137,Rainfed-SC-maize-SC,"M-30,S-30,t-30,g-10",34.75701029630,-0.49390983159,157,10-Jun-14,30,30,10,30,,0,
300,Rainfed-SC-maize-VLS,,34.73684482210,-0.55238011295,158,10-Jun-14,96,1.5,0,0,,2.5,
300,plantations,,34.73633153870,-0.57855304041,159,10-Jun-14,0,100,0,,,0,
138,Tea plantaions,,34.79055140750,-0.68655499379,160,10-Jun-14,98,2,0,,,0,
139,Rainfed-SC-maize-VLS,"VLS, T-30,M-50",34.82075433580,-0.70793616064,161,10-Jun-14,95,2,0,0,,3,
139,Rainfed-SC-banana-maize-tea-VLS,Riparian,34.83045542370,-0.71873032883,162,10-Jun-14,98,0,0,0,,2,
140,Rainfed-SC-tea/banan/maiz/tree,"T-60, ban-20,ma-20",34.85033766850,-0.73537164584,163,10-Jun-14,40,60,0,,,,
141,Rainfed-SC-maize/trees,"M-80,sh-10,g-5,t-5",34.90157416210,-0.74876070033,164,10-Jun-14,80,5,5,10,,2,
142,Rainfed-SC-maize/tea-MS,,34.93302712280,-0.76623529689,165,10-Jun-14,85,5,,,,10,
300,Rainfed-SC-maize/tea/,"M-50,T-20,T-20",34.95201809600,-0.77886280167,166,10-Jun-14,80,20,,,,,
144,Rainfed=SC=tea/maize-s-LS,"T-10, m-30.,T-30,S-20",34.97613745520,-0.77396205538,167,10-Jun-14,80,10,,,,10,
143,Tea-plantations_VLS,,35.01404883970,-0.75639987118,168,10-Jun-14,90,5,,,,5,
300,Rainfed-Maize-banana-LS,"M-30,ba-20,T-230",35.02644484510,-0.73602814151,169,10-Jun-14,90,2,,,,8,
300,Tea plantations-SS,,35.05579532340,-0.70172899468,170,10-Jun-14,95,2.5,,,,2.5,
145,Rangelands/MS,,35.10260526930,-0.68312837720,171,10-Jun-14,,,,100,,,
300,Rangelands-trees,,35.17823586400,-0.74163433868,172,10-Jun-14,,,,98,,2,
300,Rangelands,,35.22377253800,-0.75794360778,173,10-Jun-14,,,,95,,5,
300,Rainfed-SC-maize/sorghum-MS,"T-30,M-40,so-20",35.24462608470,-0.76984673839,174,10-Jun-14,90,10,,,,,
146,Rainfed-SC-maize/sorghum/vegetables-LS,,35.28162728920,-0.77390672093,175,10-Jun-14,100,,,,,,
300,Plantations,,35.33154661980,-0.77852033744,176,10-Jun-14,,90,,,,10,
300,Rainfed-SC-maize-LS,Riparian,35.35601965900,-0.80228550271,177,10-Jun-14,100,,,,,,
300,Shrublands/rangelands,,35.35190464620,-0.82869016800,178,10-Jun-14,,,,100,,,
149,Rainfed-SC-maize-LS,Riparian,35.38568204270,-0.85663796308,179,10-Jun-14,98,1,,,,1,
300,Rainfed-SC-maize/trees,,35.40586031830,-0.89875949796,180,10-Jun-14,95,5,,,,,
152,Rainfed-SC-maize-LS,,35.42366249420,-0.94557398150,181,10-Jun-14,100,,,,,,
300,Rainfed-SC-maize-LS,Riparian,35.45091652330,-0.94291578262,182,10-Jun-14,95,3,,,,2,
152,Rainfed-SC-wheat-VLS,Riparian,35.50346752820,-0.95790995520,183,10-Jun-14,100,,,,,,
