idx,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,class,lat,lon,desc
4109,6552,6158,7201,6563,7123,7150,6674,6214,6212,5201,5485,4923,4647,4203,4377,3508,3447,3996,4492,5177,5044,6751,7029,0,-28.90593616,29.24384055,
4113,7248,6479,6545,6970,6871,7105,6829,6603,7128,5275,4052,4190,3912,3182,3393,3366,3406,4058,5077,5926,5923,6307,6957,0,-29.85250296,29.64777284,
4117,5295,4825,5105,4901,5473,5199,5247,4372,3493,3233,3006,2655,2512,2093,2242,2246,2107,2230,3011,2900,3568,3849,5118,0,-28.18793826,30.73046263,
4120,6142,4906,5440,5228,6072,5889,5081,4281,3350,3151,3008,2637,2660,2579,2481,2191,2121,2277,2554,4126,3764,4063,5900,0,-27.45522432,28.51963215,
4127,3848,4977,6617,5991,6859,6144,6006,4697,3288,2915,2668,2304,2481,2153,2170,2047,2053,2101,2175,2054,2880,4123,4523,0,-28.08428913,27.6462585,
4130,5173,4500,6870,5223,5414,5128,4528,4182,4009,4099,3816,3324,3029,2795,2409,2181,2200,2355,2363,3360,3254,2891,3249,0,-27.83332563,28.45096762,
4136,6109,6085,6666,6478,6705,6633,6133,5547,5060,4306,3474,3253,2896,2643,2814,2466,2767,3156,3736,5067,4465,4887,5632,0,-30.84271727,29.24944599,
4138,6519,5278,7543,6921,8875,8425,6873,4732,3383,2920,2825,2712,2443,2337,2381,2003,2084,2404,2317,3278,3195,3684,3944,0,-27.66307412,28.61153676,
4139,5843,6274,7828,7359,7929,6706,4068,2993,2586,2433,2470,2139,2375,2129,2343,2261,2252,2390,2388,2456,3463,3833,6138,0,-27.25432668,28.05352057,
4160,5296,6290,6927,6644,6436,6107,5194,4360,3340,2964,2583,2331,2308,2074,2070,2125,2059,2197,2250,2438,5961,6379,6067,2,-27.18243811,28.11214688,
4164,4174,3944,5084,5081,5548,5794,4457,4387,3277,2740,2523,2423,2188,2158,2041,2049,2145,1958,2053,2238,4251,4275,4285,0,-28.28011175,27.82146803,
4167,4527,4910,5491,6031,5884,5521,5293,4879,4072,3672,3324,2631,2640,2428,2787,2364,2843,2716,2954,2905,4110,4292,4550,0,-28.82709766,28.0860634,
4175,4666,4402,4863,4651,5424,4567,4231,3664,3326,2810,2648,2614,2751,2766,2436,2412,2816,2952,2746,3619,4017,3715,4690,0,-27.612515,28.12196318,
4177,4886,5867,5843,5926,6070,5435,5197,4920,4106,3933,3790,3305,2995,3005,2853,2770,2757,2871,2890,3791,3911,4281,5248,0,-30.07855012,28.78161419,
4182,5516,5686,6697,6246,7153,6184,4998,4382,3504,3084,2926,2529,2472,2506,2412,2228,2131,2800,2796,2983,4376,4238,5565,0,-26.8348573,29.01468877,
4184,4574,4242,4846,5269,5302,5912,4632,4793,4657,3869,3570,2797,2664,2517,2693,2328,2526,2471,3173,4224,3644,3663,4735,0,-30.88369805,29.11228712,
4190,6996,6764,7038,6820,6376,6182,5814,4683,3388,2993,2622,2336,2365,2202,2278,2099,2033,2461,2600,3612,7203,6740,7920,0,-26.91110377,27.75206869,
4192,6996,6554,6477,5961,6405,6532,5847,4869,3564,3425,3098,2636,2518,2376,2310,2232,2378,2101,2283,2583,5267,4945,5696,0,-26.48765385,29.5511583,
4193,8504,8841,7322,7497,7314,7847,7199,7418,7066,6674,5945,5119,4826,4820,4414,3860,3511,4436,6655,6802,7243,7081,5721,0,-27.56286389,32.33342576,
4195,6909,6641,7271,7142,6885,6830,7308,6268,5803,5698,4864,4064,4111,3553,4189,3868,3775,4021,4812,5922,6417,5820,7642,0,-30.97892817,29.89277026,
4196,6686,6673,8063,6603,7333,6784,5139,3719,2744,2614,2416,2430,2371,2165,2300,2144,2111,2606,2139,2947,2986,3047,3141,0,-28.04566413,27.93715834,
4198,7198,6819,6952,6941,6967,6855,7799,7006,7003,6444,6766,6063,6604,5878,6174,5646,5326,6473,6039,5980,6834,6867,6966,0,-29.92967771,29.51673728,
