idx,B1,B10,B11,B2,B3,B4,B5,B6,B7,B8,B9,BQA,amplitude,phase,class,croptype 
210,0.119189352,302.0915527,300.6130066,0.098863833,0.086408108,0.07829158,0.225333616,0.189667165,0.116827056,0.07813786,0.001742102,20496,0.063280758,-1.511271365,0,Others
211,0.150054604,302.1196594,299.6248474,0.132543385,0.12412367,0.1196227,0.266407967,0.218218505,0.153934404,0.123407096,0.001410151,20480,0.010767934,0.549875129,0,Others
212,0.117163703,304.3755798,303.1682739,0.10346549,0.102862284,0.102128446,0.230835885,0.224279195,0.148560286,0.099198386,0.001551552,20480,0.205218455,2.850851855,1,Sugarcane
213,0.111980721,304.3994751,303.3190308,0.093272589,0.075828776,0.070692137,0.147219419,0.184013456,0.13552615,0.072050571,0.001743021,20512,0.131734291,2.346652785,0,Others
214,0.115366846,301.0802002,299.9397583,0.095996074,0.089079544,0.077811286,0.263148546,0.176504999,0.099178687,0.091602311,0.001411116,20480,0.097313372,-1.512113547,1,Sugarcane
215,0.128876477,301.4755554,299.8095093,0.113028891,0.110815406,0.110515259,0.264203578,0.273388237,0.199753314,0.10914284,0.001312779,20480,0.086399942,1.557474911,0,Others
216,0.122182727,302.9530029,301.2854309,0.105829924,0.097856142,0.092652507,0.22889173,0.237934932,0.172639906,0.085855618,0.001130726,20480,0.078905201,2.535882559,0,Others
217,0.127300858,306.1055603,304.8840027,0.118857078,0.120176256,0.144422203,0.249345601,0.331406087,0.2284199,0.130049974,0.001573149,20480,0.112527164,1.773966007,0,Others
218,0.119776458,302.5088501,301.4633484,0.101163,0.093407288,0.090804249,0.242531389,0.242938638,0.166327715,0.095892005,0.001089942,20480,0.038749209,2.148563622,0,Others
219,0.130126417,301.7839355,300.3306885,0.1124833,0.111087054,0.1082118,0.292729914,0.241960764,0.168876112,0.112464949,0.001227488,20480,0.172700452,1.53637276,1,Sugarcane
220,0.150278434,304.0704041,300.87146,0.129092112,0.107809484,0.094495811,0.24260433,0.216023996,0.134760275,0.102512904,0.001540819,20480,0.119838559,1.673753691,0,Others
221,0.116070658,309.1579895,307.836792,0.100373045,0.09091185,0.09197323,0.198136583,0.245585918,0.203736693,0.093025893,0.001942472,20480,0.09287611,0.906801647,1,Sugarcane
222,0.154343247,305.6601257,302.7344055,0.131032616,0.101580538,0.102281772,0.165092826,0.250523835,0.19054091,0.101849504,0.001570558,20480,0.121054638,2.099582573,1,Sugarcane
223,0.148689464,302.9686279,300.1011963,0.126540124,0.101188764,0.086647242,0.258010626,0.178269625,0.087712862,0.09288276,0.001773404,20512,0.112365336,2.334508787,0,Others
224,0.125794604,300.4386902,299.0582581,0.10582602,0.098665409,0.093320459,0.246977255,0.22862345,0.150883153,0.094639637,0.001220653,20480,0.115253791,1.407218814,0,Others
225,0.139768302,305.0007935,303.217865,0.121166959,0.11661239,0.123279296,0.226749063,0.245266885,0.188877285,0.0944262,0.001545051,20480,0.064572947,2.057284154,0,Others
226,0.116480932,304.412384,303.4993286,0.10139934,0.089949682,0.092876635,0.163160503,0.239402369,0.175909311,0.089131415,0.001420239,20480,0.131225113,2.144801965,1,Sugarcane
227,0.12962006,301.4616394,299.7984924,0.112162352,0.105736621,0.091182485,0.329038024,0.236633226,0.136207014,0.095460795,0.001321262,20480,0.024297049,-0.289726992,1,Sugarcane
228,0.124430865,305.5181274,304.6873474,0.111453027,0.10696397,0.113668844,0.217778057,0.290884018,0.242293,0.102317035,0.002045518,20480,0.207722819,2.615505863,1,Sugarcane
229,0.124069527,298.5394287,297.3528137,0.102258898,0.082567148,0.06481003,0.248639211,0.106773026,0.057762455,0.076970547,0.00127157,20512,0.056133234,2.22625826,0,Others
230,0.110085636,294.5031738,294.7637939,0.091040887,0.070169538,0.039634131,0.014557074,0.003935748,0.002539022,0.057399932,8.96E-04,20512,0.100633158,0.456404487,0,Others
231,0.109408334,302.09021,301.6534424,0.094661362,0.089687899,0.085825019,0.209412903,0.188901633,0.115074396,0.086586446,0.001839616,20480,0.087175448,-0.083002396,1,Sugarcane
