idx,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,class,latitude,longitude,desc
237,0.4834,0.39895,0.1698,0.20925,0.30375,0.31905,0.37075,0.4061,0.3874,0.42955,2,35.07561809,9.83369844,
238,0.4812,0.3995,0.182,0.221,0.2908,0.3176,0.3899,0.4227,0.3975,0.4369,2,35.06825806,9.735436915,
242,0.44045,0.3288,0.1786,0.21195,0.27755,0.2976,0.3483,0.38215,0.36095,0.41075,2,35.09801086,9.412590854,
243,0.3822,0.3184,0.1637,0.1866,0.2688,0.281,0.3066,0.3331,0.3159,0.3463,2,35.12873816,9.372401321,
244,0.3832,0.3155,0.1979,0.2081,0.28,0.293,0.3146,0.3397,0.3182,0.3527,2,35.14309671,9.365157037,
245,0.33475,0.25015,0.1421,0.1561,0.18665,0.2236,0.2933,0.3352,0.32805,0.35815,2,35.15248621,9.36682127,
248,0.44655,0.35455,0.1787,0.2151,0.282,0.29785,0.33685,0.36605,0.3496,0.3833,2,35.37412043,9.475659804,
249,0.3186,0.2297,0.1462,0.1597,0.185,0.2064,0.2869,0.3302,0.3127,0.3539,2,35.38244027,9.506720185,
250,0.41055,0.3229,0.15095,0.1756,0.2334,0.25405,0.31535,0.34745,0.3369,0.37085,2,35.41232014,9.488723588,
251,0.3329,0.2428,0.14155,0.1619,0.1983,0.21925,0.29095,0.333,0.3181,0.3534,2,35.41973773,9.480367528,
255,0.541,0.4227,0.2604,0.3096,0.38405,0.4001,0.4446,0.4799,0.4556,0.5038,2,35.66243969,9.260114212,
264,0.29275,0.1863,0.1248,0.13745,0.13275,0.179,0.3365,0.3947,0.38165,0.4229,2,35.63883391,9.696305438,
265,0.39475,0.2825,0.15735,0.1803,0.22115,0.25725,0.32905,0.37195,0.35705,0.4009,2,35.65154026,9.744070761,
266,0.4714,0.3777,0.1817,0.2134,0.2693,0.28735,0.33475,0.3639,0.357,0.388,2,35.60426692,9.842767592,
267,0.30805,0.20235,0.1387,0.1511,0.1543,0.1884,0.3132,0.3681,0.3609,0.3911,2,35.60093687,9.890474965,
268,0.3502,0.251,0.1669,0.1968,0.2447,0.2594,0.2878,0.3202,0.2948,0.3358,2,35.63976591,9.983399136,
269,0.3122,0.2152,0.1437,0.167,0.1977,0.2307,0.3054,0.3467,0.3076,0.3714,2,35.64275284,9.989020946,
276,0.4019,0.2962,0.1667,0.1927,0.2323,0.2606,0.3162,0.3483,0.3403,0.3734,2,35.86150668,9.699753098,
280,0.3715,0.2604,0.1716,0.1899,0.2268,0.2504,0.3217,0.3621,0.3547,0.3906,2,35.85149205,9.540579672,
284,0.2452,0.1523,0.1317,0.139,0.1364,0.1863,0.3196,0.377,0.3734,0.393,2,36.02876994,9.41773099,
