description,idx,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B09,B10,B11,B12,QA10,QA20,QA60,Cropland,Longitude,croptype,desc,invalid
,2075,4871.5,4902.5,5093,5595.5,5677,5746.5,5896,6095,6022,3595,628.5,4921.5,3590.5,,,1024,100,9.967595638,Barley/Wheat,Irrigated-wheat (tendre)-SC-LS,0
,2116,4530,4389,4588.5,5108.5,5240.5,5428,5744.5,5401,5890.5,3054,470,4768,3781,,,1024,100,9.98651689,Barley/Wheat,Rainfed-Barley-SC-LS,0
,2216,5224.5,4495.5,4766,5251,5296.5,5530,5842,5367.5,6211,3780,452.5,4631.5,3710.5,,,1024,,10.02346732,Orchard,Rainfed-orchards (olive)/Barren-SC-LS,0
,2132,4769,4812.5,4705,5259,5394.5,5570,5835,5684,5981.5,3076,716.5,3331.5,2808.5,,,1024,100,10.07944075,Fodder,Rainfed-Fodder (Fenugreek) - SC-LS,0
,2117,3062.5,2894,2686.5,3096.5,3058,3223.5,3509,3379,3766,1792,227,3441,2772,,,1024,100,10.03661979,Barley/Wheat,Rainfed-Barley-SC-LS,0
,2025,2219.5,2652,2393,2543.5,2513,2525.5,2606.5,3073,2735.5,944.5,173.5,2961.5,2023,,,1024,97,9.978628728,Barley/Wheat,Rainfed-SC-barley-LS,0
,2123,3187.5,3001,2873.5,3041.5,2980.5,3167.5,3478.5,3455,3518.5,2062,195,3700,2743.5,,,1024,97,9.962522265,Fababean,Rinfed-SC-fababean-VLS,0
,2026,1885.5,1684,1635.5,1997,2031,2252.5,2522.5,2348.5,2800.5,620,21,3289,2351,,,1024,93,10.02538416,Barley/Wheat,Rainfed-SC-barley-VLS,0
,2297,2458,2330.5,2351,2626,2691.5,3039,3388,3109.5,3567,1115,132.5,3532.5,2712.5,,,1024,5,10.06710936,Orchard,Rainfed - orchards (olive) /Barren-SC-LS,0
,2001,2722.5,2155.5,2353.5,2850,3047.5,3380,3647,3282,3837,1371,86.5,3999.5,3001,,,1024,80,10.22700276,Barley/Wheat,Irrigated-SC-barley-LS,0
,2074,4433.5,4491.5,4566,5052,5095.5,5252.5,5431.5,5380.5,5596,2608,375,3522,2888,,,1024,98,10.12475035,Barley/Wheat,Rainfed-wheat-SC-LS,0
,2215,2294,1921,1836,2025.5,2102,2407.5,2654,2337.5,2911.5,992.5,69.5,2229.5,1774,,,1024,48,10.12673695,Orchard,Irrigated-orchards (pear) /  Barren-SC-MS,0
,2073,2508,2283,2277,2582,2618.5,2838,3068,2890.5,3283.5,1109,103,3112,2459,,,1024,93,10.12948567,Barley/Wheat,Rainfed-barley-SC-LS,0
,2053,1632.5,1520.5,1559.5,1848,1877,2099.5,2408.5,2439.5,2811,508.5,16.5,4390.5,3199.5,,,,90,10.41175287,Barley/Wheat,Rainfed-SC-wheat-MS,0
,2196,1515.5,1310.5,1271,1414.5,1509.5,1731.5,1959.5,1842,2199,413,16,2742.5,1811.5,,,,0,10.38726494,Orchard,Irrigated-almond/olive orchards / Barren-LS,0
,2147,1432,1232.5,1205,1138,1402,1923,2201,2100.5,2488.5,471,16,2447.5,1480.5,,,,0,10.35611111,Non-cropland,Forests/shrublands-VLS,0
,2146,1591.5,1245,1256.5,1185.5,1457,2000.5,2296,2131,2533.5,528.5,27,1918,1190.5,,,,0,10.32229007,Non-cropland,Forests/shrublands-VLS,0
,2153,2806,3212.5,3020,2880,3100.5,3454.5,3623.5,3717,3700.5,1443.5,239,3171.5,2322,,,1024,0,10.31888889,Non-cropland,Forests/shrublands-VLS,0
,2207,3889,3377,3398,3784.5,3977,4307,4579.5,4208.5,4787.5,2576,370,4053.5,3151,,,1024,35,10.28834468,Orchard,Rainfed-olive orachards / Barren-LS,0
,2154,1414.5,1132,1038.5,835,1148.5,1809.5,2103,2030,2303,429,19,1360.5,744,,,,0,10.35916667,Non-cropland,Forests/shrublands-VLS,0
,2208,1769,1666,1747.5,1691.5,1781.5,2811,3231.5,3205.5,3535.5,614,36.5,2578.5,1611,,,,25,10.42245846,Orchard,Rainfed-olive orachards / Barren -LS,0
,2064,2841,2205.5,2518,3034.5,3183.5,3516,3856,3304.5,4079,1571.5,147.5,4189.5,3237,,,1024,96,10.43744892,Barley/Wheat,Rainfed-SC-wheat-VLS,0
,2155,2409.5,1630,1659,1860.5,2069,2594.5,3028,2547.5,3385,1278,32,3108.5,2470.5,,,1024,10,10.45608442,Non-cropland,Waste lands/rangelands,0
,2065,1790,1711,1790,2114,2129,2368,2618,2444,2822,431,17,3588,2380,,,,95,10.49562284,Barley/Wheat,Rainfed-SC-wheat/oats-LS,0
,2066,1756,1640,1667,2001,2062,2417,2799,2725,3260,509,15,4318,2892,,,,90,10.54611111,Barley/Wheat,Rainfed-SC-wheat-LS,0
,2067,1688,1560,1571,1884,1922,2146,2394,2297,2680,456,17,3187,2044,,,,94,10.60376118,Barley/Wheat,Rainfed-SC-wheat/barley-LS,0
,2183,1720,1640,1748,2194,2262,2576,2943,2734,3275,523,19,4322,3142,,,,60,10.58659208,Oats,Rainfed-SC-oats-LS,0
,2209,1423,1149,1065,827,1082,2366,3024,2949,3417,462,13,1697,866,,,,,10.5444706,Orchard,Irrigated-GW-orange orchards / Barren-LS,0
,2197,1230,936,737,595,651,919,1076,973,1162,181,12,807,472,,,,10,10.48038919,Orchard,Irrigated-almond/olive orchards /Barren-LS,0
,2054,1403,1656,1669,1352,1192,1578,1764,2319,1814,325,65,1495,755,,,,83,10.51270994,Barley/Wheat,Rainfed-SC-wheat-MS,0
,2198,1992,2651,3654,2517,2326,2780,3025,3836,3264,829,263,3714,2340,,,,78,10.53898828,Orchard,Irrigated-grape orchards / Barren-VLS,0
,2180,5584,4649,4206,4438,4831,5278,5488,4784,5857,4077,359,4580,3741,,,1024,90,10.57087585,Oats,Rainfed-SC-oats-VLS,0
,2148,1523,1318,1334,1436,1525,1788,2021,1866,2162,335,13,2338,1459,,,,0,10.51965461,Non-cropland,Waste lands/rangelands,0
,2199,1808,1723,1919,2286,2383,2812,3142,2864,3330,496,17,3959,2867,,,,10,10.49128002,Orchard,Rainfed-olive orachards /Barren-VLS,0
,2149,2031,2147,2531,3133,3239,3723,4056,3719,4279,694,64,5017,3702,,,,0,10.26111111,Non-cropland,Fallows/Barrenland,0
,2056,1411,1215,1120,1336,1333,1458,1619,1538,1733,295,11,2159,1450,,,,100,10.28807057,Barley/Wheat,Irrigated-SC-wheat-LS,0
,2201,1599,1478,1649,1847,1948,2887,3377,3107,3726,583,16,3331,2067,,,,,10.32387483,Orchard,Rainfed-olive orachards / Barren-VLS,0
,2202,1671,1568,1781,2327,2443,2875,3242,3053,3553,555,20,4192,3101,,,,,10.31123943,Orchard,Rainfed-olive orachards / Barren-VLS,0
,2055,1733.5,1706,1965,2352,2304,2540,2763,2564,2834,439,18,3618,2560,,,,98,10.35855495,Barley/Wheat,Rainfed-SC-wheat-MS,0
,2304,3568,2186,2960.5,3297,3374.5,3978,4606,3501,4864,2061,131,4654,3897,,,1024,99,10.38416667,Vegetable,Rainfed-fallows/openlands,0
,2200,1765,1772,2121,2422,2512,3222,3737,3493,3999,537,21,4261,2975,,,,,10.39153045,Orchard,Rainfed-olive orachards / Barren-VLS,0
,2206,3049,3711.5,3596.5,4035,4120,4555,4921.5,4753.5,5111,1120,71.5,5213.5,3944.5,,,1024,,10.06222222,Orchard,Irrigated-GW-olive plantations / Barren - VLS,0
,2205,2851.5,2838,2684,2846.5,2982,3356.5,3675,3494.5,3891,1505.5,201,2794,2118.5,,,1024,,10.05472222,Orchard,Irrigated-GW-olive plantations / Barren-VLS,0
,2060,2591.5,2553,2600.5,2982,3019,3347.5,3635.5,3458.5,3800.5,1222.5,106.5,3194.5,2381,,,1024,100,10.06861111,Barley/Wheat,Irrigated-SW-wheat-LS,0
,2305,2181.5,2301,2395.5,2609.5,2641.5,2880,3123.5,3083.5,3235.5,817,116.5,3385,2515.5,,,1024,96,10.02837403,Vegetable,Irrigated-GW-watermelon-LS,0
,2130,1685,1552.5,1681.5,1928,1940.5,2144,2355,2165.5,2473.5,424,18,3087.5,2108.5,,,,95,10.04533389,Fodder,Irrigated-fodder-MS,0
,2150,2041,2072.5,2493,3022,3111.5,3575,3962.5,3658.5,4172,676,19,4973.5,3617.5,,,,0,10.16365541,Non-cropland,Wetlands/waterbodies,0
,2203,1906,1863,2197,2791,2901,3512,3938,3638,4174,656,16,4657,3304,,,,,10.22318197,Orchard,Rainfed-olive orachards / Barren-VLS,0
,2164,1874.5,1783,1976,2294,2461.5,2768,2929,2771.5,3236,528,18,3694,2647,,,,0,10.18857145,Non-cropland,Grassland (Halophyte),0
,2151,1789.5,1717,1924,2275.5,2312,2606,2894.5,2600.5,3058,485.5,14,3448.5,2375.5,,,,80,10.14357267,Non-cropland,Wetlands/waterbodies,0
,2204,1753,1659,1862,2340.5,2503.5,3084,3509.5,3302.5,3865.5,617,19.5,4308,3126,,,,10,9.993773023,Orchard,Rainfed-olive orachards-VLS,0
,2059,1913,1938.5,2245.5,2865,2959.5,3240.5,3560,3334.5,3832,608,18.5,4552.5,3098.5,,,,78,9.989691893,Barley/Wheat,Irrigated-SW-barley/wheat-LS,0
,2100,2223.5,2299.5,2888.5,3523.5,3379,3679,4088.5,3755.5,4278.5,650.5,20.5,5049.5,3835,,,,0,9.938803148,Barley/Wheat,Irrigated wheat -LS,0
,2308,1641.5,1531.5,1734,2103,2105.5,2312,2515.5,2268,2586.5,427,13.5,3120,2114.5,,,,53,10.03008382,Vegetable,Irrigated-Tomato-SC-MS,0
,2058,1641.5,1531.5,1734,2103,2105.5,2312,2515.5,2268,2586.5,427,13.5,3120,2114.5,,,,40,10.03016421,Barley/Wheat,Irrigated-SW-barley/wheat-LS,0
,2057,1798.5,1371,1564.5,1528,1708.5,2901.5,3468.5,3244,3712,626,18,2994,1844,,,,99,10.05916673,Barley/Wheat,Irrigated-SW-wheat-LS,0
