idx,B3,B4,B5,crop,nd,slope,type
743,0.14961047,0.17813317,0.34021157,1,-0.02791181,2.1846201,Crop
744,0.20512146,0.2576236,0.375931,1,-0.011379837,2.2949438,Crop
745,0.16300127,0.17583986,0.3316499,1,-0.024674071,4.6184936,Crop
746,0.17968135,0.22648235,0.3486918,1,-0.026377698,0,Crop
747,0.14208692,0.15721843,0.28815475,0,-0.03291166,5.0575724,Non-Crop
748,0.20836474,0.23197524,0.3641803,1,-0.0128967,3.557891,Crop
749,0.18166354,0.21813874,0.35247642,1,-0.01715985,1.1475916,Crop
750,0.15739417,0.17466515,0.3037621,0,-0.027536709,16.241402,Non-Crop
751,0.2516903,0.28937784,0.37864703,0,0.002084923,1.1512673,Non-Crop
752,0.17204873,0.20740248,0.32843262,0,-0.026811881,5.3639646,Non-Crop
753,0.16784486,0.1975979,0.29639688,0,-0.022065058,2.9505584,Non-Crop
754,0.15248352,0.18422762,0.32607186,1,-0.030935504,3.9166427,Crop
755,0.11899991,0.12380186,0.24575743,0,-0.045278978,2.1855478,Non-Crop
756,0.16729484,0.15433887,0.15099101,0,-0.026409298,0,Non-Crop
757,0.18267347,0.22650054,0.33910096,0,-0.018564377,1.8543341,Non-Crop
758,0.2035991,0.24095207,0.35248148,0,-0.004556343,1.4775349,Non-Crop
759,0.12841925,0.1318294,0.29297984,1,-0.043903176,2.9564397,Crop
760,0.17253412,0.20179226,0.2957278,1,-0.021544633,2.1823087,Crop
761,0.17576435,0.21166244,0.31577745,1,-0.017232357,0.92740995,Crop
762,0.14045115,0.14970963,0.25111315,0,-0.04466752,29.100552,Non-Crop
763,0.189437,0.23393644,0.40774977,0,0.004361433,4.7681255,Non-Crop
764,0.17752041,0.20903325,0.30729607,0,-0.012966088,6.8612394,Non-Crop
765,0.2059766,0.26051036,0.34912685,1,-0.009269592,1.475099,Crop
766,0.1856731,0.21316019,0.30342442,1,-0.014128014,1.4751809,Crop
767,0.17932849,0.21540634,0.29402027,1,-0.022006527,3.5575414,Crop
768,0.14943011,0.19778429,0.3284832,1,-0.03143011,0,Crop
769,0.18788955,0.23739584,0.33784848,1,-0.007313134,0.92740995,Crop
770,0.1877159,0.23340234,0.3262263,1,0.005460519,7.721354,Crop
771,0.18791921,0.23545834,0.38511294,1,-0.005639857,3.572339,Crop
772,0.15614675,0.19094566,0.3530648,1,-0.013354907,1.478058,Crop
773,0.19092616,0.24746071,0.35258642,1,-0.019756446,2.1801069,Crop
774,0.21922979,0.27848107,0.41150928,1,-0.001526854,1.4776018,Crop
775,0.13663124,0.13347721,0.3034911,1,-0.06053007,1.4827697,Crop
776,0.2126904,0.26451555,0.3752555,1,-0.007674231,3.5793874,Crop
777,0.14830649,0.15147687,0.3379389,1,-0.04041945,1.482809,Crop
778,0.15520757,0.16192174,0.3467301,1,-0.033906356,3.0100985,Crop
779,0.16326945,0.1949106,0.32641208,1,-0.033058256,3.5595827,Crop
780,0.23163892,0.26102194,0.3210113,0,-0.007028194,0.92740995,Non-Crop
781,0.19162259,0.2225955,0.36051065,1,-0.013248404,1.4781793,Crop
782,0.20622103,0.2463457,0.38755938,0,-0.003473417,5.162116,Non-Crop
783,0.20681138,0.24055807,0.3663027,1,-0.004912407,1.8543341,Crop
784,0.17043813,0.19508271,0.36114478,0,-0.025312811,7.809914,Non-Crop
785,0.19734533,0.24547245,0.38032958,0,-0.011752391,23.119064,Non-Crop
786,0.18531358,0.23046674,0.33892712,0,-0.019050028,15.67169,Non-Crop
787,0.21567804,0.26724494,0.41269448,0,0.006234671,0.92740995,Non-Crop
788,0.18690531,0.23973985,0.36568996,1,-0.013986893,1.4812957,Crop
789,0.15186092,0.16793177,0.3200655,0,-0.020138122,14.467681,Non-Crop
790,0.11606461,0.11076785,0.23485245,0,-0.050345648,8.595435,Non-Crop
791,0.1523097,0.1868009,0.2707019,0,-0.03479059,1.4750171,Non-Crop
792,0.15473236,0.18484211,0.30556387,1,-0.02571575,7.4669375,Crop
793,0.20532703,0.2251404,0.29856634,0,-0.013123167,0,Non-Crop
